FLIGHT_ID,P64: Duration of Takeoff (Seconds),P64: True Airspeed at Liftoff (knots),N1_liftoff,LIFTOFF,HEAD_WIND_KNOTS_during_stated_takeoff_ground_roll,FLAP_POSITION_DEGREES_during_stated_takeoff_ground_roll,FLAP_POSITION_DEGREES_std_during_stated_takeoff_ground_roll,ACTYPE,TAKEOFF_GROUND_ROLL_DISTANCE_STATED_(FEET),HEAD_WIND_KNOTS_TWENTY_POINT_LAGGING_AVERAGE,RUNWAY_CALCULATED_GRADIENT_degraded,GROSS_WEIGHT_KILOGRAMS_rollstart,FLAP_POSITION_DEGREES,MSL_ALT_degraded,AIR_TEMP_OUTSIDE_CELSIUS,N1_during_stated_takeoff_ground_roll
1006101,61.625,174.5,101.085938,1,0.03855856451612903,22.25,0.0,A340-3_2CM015,10044.580499357087,-0.8647311,0.0,262735.53595,22.25,5600.0,18.25,102.37248008064516
1006167,41.75,164.125,86.9375,1,-0.11857390476190476,14.25,0.0,A330-3_4PW067,6557.358680379622,-0.33958365,-0.0,226469.24823,14.25,1400.0,-4.5,84.3828125
1006169,41.375,157.1875,88.21875,1,-0.18136612195121954,14.25,0.0,A330-2_4PW067,5885.322831206652,-1.8901358,-0.0,211270.217087,14.25,1400.0,-1.5,87.6280487804878
1006171,40.5,150.9375,86.515625,1,-4.370531025,14.25,0.0,A330-2_4PW067,5731.776769497898,-7.35353255,0.0,199057.086609,14.25,1400.0,-1.0,85.779296875
1006174,41.375,157.6875,92.015625,1,9.109719975609757,14.25,0.0,A330-2_4PW067,5978.380355120262,-4.1887282,-0.0,206493.303513,14.25,100.0,28.5,91.39557926829268
1006184,39.75,159.4375,90.9375,1,-3.89962475,14.25,0.0,A330-2_4PW067,6397.968528811288,-6.70235395,0.0,221149.961319,14.25,1400.0,-1.5,89.463671875
1006271,53.75,169.375,94.546875,1,0.2002700370370371,22.25,0.0,A340-3_2CM015,8120.102260823118,-3.14142175,0.0,265309.763611,22.25,1400.0,-1.5,95.80584512962963
1006272,49.125,166.6875,95.648438,1,6.508975367346939,22.25,0.0,A340-3_2CM015,7363.873356284125,6.8942416,-0.0,266614.031219,22.25,100.0,13.75,97.02264055102042
1006522,40.875,159.375,85.78125,1,-0.18544899999999997,14.25,0.0,A330-3_4PW067,6427.515322375682,-0.5281167,0.0,212064.866272,14.25,1400.0,2.5,83.43559451219512
1006523,42.25,166.875,80.328125,1,0.3937008095238096,14.25,0.0,A330-3_4PW067,6273.3212422764145,1.1869732,0.0,202665.073685,14.25,100.0,4.25,79.30431547619048
1006530,41.25,168.125,83.109375,1,0.26002651219512196,14.25,0.0,A330-3_4PW067,6278.682422132305,0.74819865,0.0,220428.914307,14.25,100.0,5.0,82.07926829268293
1006598,42.75,160.25,83.25,1,-0.09951920930232559,14.25,0.0,A330-3_4PW067,6686.769538892169,-0.5030068,-0.0,214131.514404,14.25,1400.0,-4.5,81.28379360465117
1006599,40.125,168.1875,88.421875,1,-0.0612541,14.25,0.0,A330-3_4PW067,6935.366828071049,-0.19628805,-0.0,231236.019135,14.25,0.0,25.5,86.78359375
1006601,39.375,153.6875,88.828125,1,2.3047948717948716,14.25,0.0,A330-2_4PW067,5404.62471776164,1.09190915,0.0,208433.68251,14.25,0.0,14.25,88.40865384615384
1006602,33.75,144.0,91.445313,1,4.3555548235294115,22.25,0.0,A340-3_2CM015,4215.080276149519,5.521595,0.0,195569.526733,22.25,1400.0,-4.5,91.42302420588236
1006605,61.25,182.6875,98.726563,1,0.6230576065573771,17.25,0.0,A340-3_2CM015,10981.105211513546,-1.4426013,-0.0,257798.688171,17.25,5600.0,19.25,100.11974926229507
1006607,51.625,157.3125,89.765625,1,-0.49623803846153847,22.25,0.0,A340-3_2CM015,7659.212340137583,-1.881291,0.0,235589.456589,22.25,0.0,19.25,89.80108198076923
1006621,48.625,149.1875,86.992188,1,-1.9619653469387754,22.25,0.0,A340-3_2CM015,6981.099981235308,-4.94908455,-0.0,222462.204254,22.25,1400.0,-1.75,87.06106534693879
1006682,40.875,155.5625,91.140625,1,-2.586637219512195,14.25,0.0,A330-2_4PW067,5737.836390995288,-5.1335314,-0.0,221078.73349,14.25,1400.0,-4.5,88.8064024390244
1006850,43.375,160.1875,81.90625,1,-0.3602430697674419,14.25,0.0,A330-3_4PW067,6818.192001262291,-1.05694695,-0.0,201275.024048,14.25,1400.0,-1.25,80.01199127906976
1006851,34.75,143.625,78.15625,1,0.0,14.25,0.0,A330-3_4PW067,4851.045468545639,-0.09640565,0.0,151544.540421,14.25,0.0,21.75,75.15848214285714
1006852,33.25,143.0625,78.09375,1,0.08375863636363635,14.25,0.0,A330-3_4PW067,4671.5414113155675,0.06344485,0.0,146385.583694,14.25,100.0,21.5,75.81013257575758
1006868,51.5,155.625,91.59375,1,4.002243764705883,22.25,0.0,A340-3_2CM015,7349.883549216384,3.4080687,0.0,259321.832123,22.25,1400.0,-0.5,92.6377147254902
1006869,46.0,168.8125,96.007813,1,12.18146154347826,22.25,0.0,A340-3_2CM015,6577.315851185613,13.5993363,-0.0,269560.805695,22.25,100.0,13.5,97.3906252826087
